SITE_ID,SENSOR_SLOT_ID,START_DATETIME,END_DATETIME,INSTANCE,SERIAL_NUMBER,COMMENTS
REDHL,TDT2,2016-02-18 16:00:00,,1.0,6501261,
REDHL,HF2,2016-02-18 16:00:00,,1.0,3678,
REDHL,HF1,2016-02-18 16:00:00,,1.0,3677,
REDHL,RG,2016-02-18 16:00:00,2019-10-04 07:44:00,1.0,358375,
REDHL,PROFILE2,2016-02-18 16:00:00,2020-01-30 00:00:00,1.0,36156,
REDHL,PROFILE3,2016-02-18 16:00:00,2020-01-30 00:00:00,1.0,36157,
REDHL,STP,2016-02-18 16:00:00,,1.0,2215,
HARTW,ETHERNET_115,2014-05-20 13:30:00,2017-02-22 12:00:00,1.0,11879,
PORTN,HYGROCLIP,2017-04-27 08:30:00,2018-11-07 10:30:00,2.0,61019529,
WYTH1,4CR,2013-11-26 00:30:00,2016-09-30 09:00:00,1.0,1939,
PORTN,HYGROCLIP,2014-12-18 10:30:00,2017-04-27 08:30:00,1.0,61211924,
SHEEP,TDT1,2017-04-12 11:30:00,2017-11-09 13:00:00,2.0,6501252,
SHEEP,HYGROCLIP,2016-08-24 09:30:00,2017-04-12 11:30:00,1.0,61222916,
SHEEP,HYGROCLIP,2017-04-12 11:30:00,2018-07-05 11:00:00,2.0,61218689,
WYTH1,AWS,2013-11-26 00:30:00,2016-09-30 09:00:00,1.0,13200014,
WYTH1,STP,2013-11-26 00:30:00,2016-09-30 09:00:00,1.0,2213,
WYTH1,TDT1,2013-11-26 00:30:00,2016-09-30 09:00:00,1.0,6501041,
WYTH1,TDT2,2013-11-26 00:30:00,2014-01-28 12:00:00,1.0,6501037,Installed 1.5 m from end of rain gauge sleeper. Acclima probe badly in line with North edge of sleeper
WYTH1,HF1,2013-11-26 00:30:00,2016-09-30 09:00:00,1.0,3234,
WYTH1,PROFILE3,2013-11-26 00:30:00,2016-09-30 09:00:00,1.0,35900,
WYTH1,PROFILE1,2013-11-26 00:30:00,2016-09-30 09:00:00,1.0,35898,
WYTH1,COSMOS_BARE,2013-11-26 00:30:00,2016-09-30 09:00:00,1.0,HI-TC01-1003,
WYTH1,RG,2013-11-26 00:30:00,2016-09-30 09:00:00,1.0,328998,
SOURH,COSMOS_MOD,2014-11-19 11:00:00,,1.0,HI-TC02-2037,
SOURH,COSMOS_SNOW,2014-11-19 11:00:00,,1.0,HI-TC02-2032,
SOURH,HF1,2014-11-19 11:00:00,,1.0,3685,
SOURH,HF2,2014-11-19 11:00:00,,1.0,3684,
SOURH,STP,2014-11-19 11:00:00,,1.0,2230,
SOURH,AWS_ANEM,2014-11-19 11:00:00,2020-10-07 00:00:00,1.0,140303,
SOURH,AWS,2014-11-19 11:00:00,2019-01-01 00:00:00,1.0,14080004,End date unknown - False end date entered
BALRD,PHENOCAM_LENS1,2014-05-15 17:30:00,2018-07-04 09:00:00,1.0,5921978,
GLENW,PHENOCAM_LENS2,2016-06-15 15:00:00,2018-11-14 12:00:00,1.0,5939836,IP:10.16.44.183
HADLW,PHENOCAM_LENS2,2016-10-27 14:30:00,2018-10-25 14:00:00,1.0,5994293,IP:10.16.44.221
HENFS,PHENOCAM_LENS2,2015-12-17 13:00:00,2018-11-01 12:00:00,1.0,5376083,IP:10.16.106.233
HILLB,PHENOCAM_LENS2,2016-06-14 17:00:00,2018-11-15 15:00:00,1.0,5388919,IP:10.16.106.228
LIZRD,PHENOCAM_LENS2,2014-10-17 12:00:00,2018-12-06 12:00:00,1.0,5920763,IP:10.12.91.83
LODTN,PHENOCAM_LENS2,2016-04-26 15:00:00,,1.0,5375137,IP:10.16.106.73. Installed in MKll enclosure after PPM on 23/04/2018
LULLN,PHENOCAM_LENS2,2014-12-16 15:30:00,2018-10-26 12:00:00,1.0,5920039,IP:10.12.108.153
MOORH,PHENOCAM_LENS2,2014-12-04 11:30:00,2018-08-15 08:00:00,1.0,5920607,IP:10.12.108.158
MORLY,PHENOCAM_LENS2,2014-05-14 05:00:00,2018-09-18 08:00:00,1.0,5911352,
NWYKE,PHENOCAM_LENS2,2014-10-16 09:00:00,2018-12-05 12:00:00,1.0,5913580,IP:10.12.91.71
PLYNL,PHENOCAM_LENS2,2014-11-05 12:30:00,2016-04-09 00:00:00,1.0,5919424,"IP:10.12.77.243, stolen"
REDHL,PHENOCAM_LENS2,2016-02-18 16:00:00,,1.0,5913491,IP:10.12.106.248
ROTHD,PHENOCAM_LENS2,2014-07-25 08:00:00,2018-10-03 12:00:00,1.0,5918314,IP:10.12.108.163
STGHT,PHENOCAM_LENS2,2015-08-19 06:30:00,2018-08-23 12:00:00,1.0,5355965,IP:10.16.65.218
STIPS,PHENOCAM_LENS2,2014-11-06 15:00:00,2018-07-12 12:00:00,1.0,5919717,IP:10.12.77.172
TADHM,PHENOCAM_LENS2,2014-10-14 12:00:00,2018-12-04 12:00:00,1.0,5913655,IP:10.11.113.37
WADDN,PHENOCAM_LENS2,2013-11-04 18:30:00,2018-10-04 12:00:00,1.0,5922444,IP:10.12.150.105
WYTH1,PHENOCAM_LENS2,2013-11-26 00:30:00,2016-09-30 09:00:00,1.0,5921837,IP:10.12.147.232
CHIMN,GPRS,2013-10-02 13:30:00,2019-10-09 11:00:00,1.0,354374042497801,
EASTB,MODEM,2014-08-13 11:30:00,2019-10-29 15:30:00,1.0,306252785782,
GISBN,GPRS,2014-08-15 12:00:00,2018-12-18 12:00:00,1.0,306263425754,
HARWD,GPRS,2015-05-22 12:00:00,2017-11-15 15:30:00,1.0,359991030602775,
LULLN,GPRS,2014-12-16 15:30:00,2017-06-01 10:30:00,1.0,306251615997,
MOORH,GPRS,2014-12-04 11:30:00,2020-02-26 12:00:00,1.0,306252605974,
NWYKE,GPRS,2014-10-16 09:00:00,2020-01-01 00:00:00,1.0,306055025654,Unsure of removal date
PLYNL,GPRS,2014-11-05 12:30:00,2019-11-15 10:00:00,1.0,306252866011,
STIPS,MODEM,2014-11-06 15:00:00,2020-01-23 12:00:00,1.0,306054605675,
TADHM,GPRS,2014-10-14 12:00:00,2016-01-01 00:00:00,1.0,306019725727,Unsure of removal date
WYTH1,GPRS,2013-11-26 00:30:00,2016-09-30 09:00:00,1.0,359991030457755,
CHIMN,ETHERNET_115,2013-10-02 13:30:00,2018-10-05 13:00:00,1.0,11043,
ELMST,ETHERNET_115,2016-08-11 15:30:00,,1.0,13467,
GLENW,ETHERNET_115,2016-06-15 15:00:00,2020-10-21 09:00:00,1.0,13628,
HILLB,ETHERNET_115,2016-06-14 17:00:00,,1.0,14163,
SPENF,ETHERNET_115,2016-11-23 10:00:00,2021-06-16 09:00:00,1.0,13625,
WADDN,ETHERNET_115,2013-11-04 18:30:00,2014-01-27 12:00:00,1.0,11041,
WYTH1,ETHERNET_115,2013-11-26 00:30:00,2016-09-30 09:00:00,1.0,11042,
CHIMN,LOGGER,2013-10-02 13:30:00,2018-10-05 13:00:00,1.0,8470,
GLENW,LOGGER,2016-06-15 15:00:00,2020-09-30 00:00:00,1.0,9894,
HILLB,LOGGER,2016-06-14 17:00:00,2020-09-30 00:00:00,1.0,10262,
SPENF,LOGGER,2016-11-23 10:00:00,2021-05-18 09:00:00,1.0,9896,Cal date 16-Oct-2014
CGARW,MODEM_BGAN,2016-06-29 11:00:00,2017-09-28 11:30:00,1.0,1011806050083,
BICKL,PHENOCAM_LENS1,2015-01-28 17:00:00,2018-08-21 09:00:00,1.0,5915465,IP:10.12.91.68
BUNNY,PHENOCAM_LENS1,2015-01-27 00:30:00,2018-08-22 08:00:00,1.0,5915246,IP:10.12.91.162
CARDT,PHENOCAM_LENS1,2015-06-24 10:00:00,2018-10-02 12:30:00,1.0,5350964,IP:10.16.91.35; estimated end date
CGARW,PHENOCAM_LENS1,2016-06-29 11:00:00,2018-09-14 12:00:00,1.0,5392946,IP:10.16.58.159
CHOBH,PHENOCAM_LENS1,2015-02-24 14:00:00,2018-11-08 12:00:00,1.0,5919378,IP:10.11.119.42
